state,trial,disagreement_probability
NJ,0,0.008741258741258742
NJ,1,0.015384615384615385
NJ,2,0.0038461538461538464
NJ,3,0.005714285714285714
NJ,4,0.01056338028169014
NJ,5,0.0035460992907801418
NJ,6,0.01079136690647482
NJ,7,0.00539568345323741
NJ,8,0.010948905109489052
NJ,9,0.02142857142857143
NJ,10,0.010218978102189781
NJ,11,0.02142857142857143
NJ,12,0.0174496644295302
NJ,13,0.01075268817204301
NJ,14,0.015366430260047281
NJ,15,0.0037313432835820895
NJ,16,0.006944444444444444
NJ,17,0.019047619047619046
NJ,18,0.007526881720430107
NJ,19,0.01717557251908397
NJ,20,0.00980392156862745
NJ,21,0.004934210526315789
NJ,22,0.006896551724137931
NJ,23,0.004901960784313725
NJ,24,0.005633802816901409
NJ,25,0.03333333333333333
NJ,26,0.013888888888888888
NJ,27,0.01702127659574468
NJ,28,0.011111111111111112
NJ,29,0.007142857142857143
NJ,30,0.0056737588652482265
NJ,31,0.010135135135135136
NJ,32,0.012213740458015267
NJ,33,0.00949367088607595
NJ,34,0.01618705035971223
NJ,35,0.012820512820512822
NJ,36,0.009271523178807948
NJ,37,0.009732360097323601
NJ,38,0.01607142857142857
NJ,39,0.011146496815286623
NJ,40,0.0050335570469798654
NJ,41,0.0182648401826484
NJ,42,0.00684931506849315
NJ,43,0.016233766233766232
NJ,44,0.02291666666666667
NJ,45,0.003205128205128205
NJ,46,0.010822510822510822
NJ,47,0.013157894736842105
NJ,48,0.01773049645390071
NJ,49,0.014184397163120567
NJ,50,0.006622516556291391
NJ,51,0.008169934640522876
NJ,52,0.012987012987012988
NJ,53,0.007936507936507936
NJ,54,0.015625
NJ,55,0.0136986301369863
NJ,56,0.014
NJ,57,0.012626262626262626
NJ,58,0.004246284501061571
NJ,59,0.007575757575757576
NJ,60,0.008620689655172414
NJ,61,0.008802816901408451
NJ,62,0.015527950310559006
NJ,63,0.01243781094527363
NJ,64,0.004866180048661801
NJ,65,0.014705882352941178
NJ,66,0.011655011655011656
NJ,67,0.011194029850746268
NJ,68,0.02304964539007092
NJ,69,0.010101010101010102
NJ,70,0.006211180124223603
NJ,71,0.005633802816901409
NJ,72,0.022222222222222223
NJ,73,0.014861995753715497
NJ,74,0.00510204081632653
NJ,75,0.0078125
NJ,76,0.00704225352112676
NJ,77,0.021367521367521364
NJ,78,0.014957264957264958
NJ,79,0.006535947712418301
NJ,80,0.00966183574879227
NJ,81,0.007042253521126761
NJ,82,0.006802721088435375
NJ,83,0.007936507936507936
NJ,84,0.0070921985815602835
NJ,85,0.006993006993006993
NJ,86,0.02631578947368421
NJ,87,0.010596026490066225
NJ,88,0.00966183574879227
NJ,89,0.020689655172413793
NJ,90,0.00684931506849315
NJ,91,0.01174496644295302
NJ,92,0.010606060606060607
NJ,93,0.012658227848101266
NJ,94,0.01730769230769231
NJ,95,0.0044014084507042256
NJ,96,0.007352941176470588
NJ,97,0.016786570743405275
NJ,98,0.011494252873563218
NJ,99,0.006711409395973154
NJ,100,0.00958904109589041
NJ,101,0.023255813953488372
NJ,102,0.006993006993006993
NJ,103,0.004934210526315789
NJ,104,0.002547770700636943
NJ,105,0.011764705882352941
NJ,106,0.014906832298136646
NJ,107,0.006711409395973154
NJ,108,0.011737089201877935
NJ,109,0.0047619047619047615
NJ,110,0.014492753623188406
NJ,111,0.01
NJ,112,0.01056338028169014
NJ,113,0.012345679012345678
NJ,114,0.010256410256410256
NJ,115,0.005172413793103448
NJ,116,0.006535947712418301
NJ,117,0.008830022075055188
NJ,118,0.023504273504273504
NJ,119,0.014492753623188406
NJ,120,0.01079136690647482
NJ,121,0.019097222222222224
NJ,122,0.0022522522522522522
NJ,123,0.013605442176870748
NJ,124,0.011494252873563218
NJ,125,0.010071942446043165
NJ,126,0.019867549668874173
NJ,127,0.014388489208633094
NJ,128,0.008680555555555556
NJ,129,0.013333333333333334
NJ,130,0.010294117647058823
NJ,131,0.01267605633802817
NJ,132,0.01932367149758454
NJ,133,0.01141552511415525
NJ,134,0.007575757575757576
NJ,135,0.006535947712418301
NJ,136,0.006622516556291391
NJ,137,0.014184397163120567
NJ,138,0.0036231884057971015
NJ,139,0.009191176470588236
NJ,140,0.0196078431372549
NJ,141,0.008389261744966443
NJ,142,0.016431924882629106
NJ,143,0.008492569002123142
NJ,144,0.01570048309178744
NJ,145,0.0072992700729927005
NJ,146,0.014492753623188406
NJ,147,0.006756756756756757
NJ,148,0.0072992700729927005
NJ,149,0.007462686567164179
NJ,150,0.008680555555555556
NJ,151,0.012578616352201259
NJ,152,0.008865248226950355
NJ,153,0.028368794326241134
NJ,154,0.01141552511415525
NJ,155,0.02335456475583864
NJ,156,0.004219409282700422
NJ,157,0.02054794520547945
NJ,158,0.011131725417439703
NJ,159,0.0035211267605633804
NJ,160,0.014084507042253521
NJ,161,0.006369426751592356
NJ,162,0.014285714285714285
NJ,163,0.012411347517730497
NJ,164,0.008865248226950355
NJ,165,0.012254901960784314
NJ,166,0.010638297872340425
NJ,167,0.00684931506849315
NJ,168,0.007990867579908675
NJ,169,0.013071895424836602
NJ,170,0.0037313432835820895
NJ,171,0.007042253521126761
NJ,172,0.007518796992481203
NJ,173,0.006024096385542169
NJ,174,0.008680555555555556
NJ,175,0.005813953488372093
NJ,176,0.017204301075268817
NJ,177,0.009523809523809523
NJ,178,0.012387387387387387
NJ,179,0.0045045045045045045
NJ,180,0.008974358974358974
NJ,181,0.011185682326621925
NJ,182,0.011261261261261262
NJ,183,0.013605442176870748
NJ,184,0.013333333333333334
NJ,185,0.009259259259259259
NJ,186,0.007575757575757576
NJ,187,0.0072992700729927005
NJ,188,0.009333333333333334
NJ,189,0.009554140127388535
NJ,190,0.0
NJ,191,0.0028776978417266188
NJ,192,0.017361111111111112
NJ,193,0.01506849315068493
NJ,194,0.016304347826086956
NJ,195,0.011029411764705883
NJ,196,0.006666666666666666
NJ,197,0.008492569002123142
NJ,198,0.004
NJ,199,0.0091324200913242
NJ,200,0.019736842105263157
NJ,201,0.006172839506172839
NJ,202,0.029411764705882353
NJ,203,0.016556291390728478
NJ,204,0.017543859649122806
NJ,205,0.01948051948051948
NJ,206,0.012531328320802004
NJ,207,0.004830917874396135
NJ,208,0.008974358974358974
NJ,209,0.006493506493506493
NJ,210,0.01056338028169014
NJ,211,0.012195121951219511
NJ,212,0.010822510822510822
NJ,213,0.009195402298850575
NJ,214,0.013333333333333334
NJ,215,0.01388888888888889
NJ,216,0.008771929824561403
NJ,217,0.014285714285714285
NJ,218,0.015053763440860214
NJ,219,0.010416666666666666
NJ,220,0.009456264775413711
NJ,221,0.006802721088435374
NJ,222,0.009324009324009324
NJ,223,0.006172839506172839
NJ,224,0.014705882352941176
NJ,225,0.016778523489932886
NJ,226,0.01232394366197183
NJ,227,0.014705882352941178
NJ,228,0.01702127659574468
NJ,229,0.017045454545454544
NJ,230,0.020134228187919465
NJ,231,0.006329113924050633
NJ,232,0.013803680981595092
NJ,233,0.0196078431372549
NJ,234,0.007518796992481203
NJ,235,0.02040816326530612
NJ,236,0.011764705882352941
NJ,237,0.009009009009009009
NJ,238,0.008928571428571428
NJ,239,0.007246376811594203
NJ,240,0.013245033112582781
NJ,241,0.019867549668874173
NJ,242,0.010135135135135136
NJ,243,0.014388489208633094
NJ,244,0.015410958904109588
NJ,245,0.009057971014492754
NJ,246,0.009302325581395349
NJ,247,0.005442176870748299
NJ,248,0.011185682326621925
NJ,249,0.01
NJ,250,0.006944444444444444
